#isbn,subtitle,author,copyright,publisher,genre,score,read,format,own,collection,loan,series,series_vol,comment,price,custom,custom2,custom3,custom4,custom5,custom6,customDate,customSwitch,link,tags,customFloat,customInt,pages,location,lcc,ddc,recordUUID,title
9780670911332,"","Eoin Colfer",01-01-2001,"Viking","",0.000000,,"book",1,"","","Artemis Fowl",1.000000,"",0.000000,"","","","","","",08-22-2015,0,"","",0.000000,0,277,"Ringwood, Vic.","PZ7.C677475","[Fic]","B7E19D6D-D34D-46BA-894F-9A7A309705BE","Artemis Fowl"
9780670913442,"The Arctic Incident","Eoin Colfer",01-01-2002,"Puffin Books","Juvenile Fiction / Fantasy & Magic",0.000000,,"book",1,"","","Artemis Fowl",2.000000,"",0.000000,"","","","","","",08-22-2015,0,"","",0.000000,0,288,"London","","","899641F1-5854-4EDF-BC64-3F76D2EC445F","Artemis Fowl"
9780141322209,"","Eoin Colfer",01-01-2009,"Penguin Books, Limited","",0.000000,,"book",1,"","","Artemis Fowl",6.000000,"",0.000000,"","","","","","",08-22-2015,0,"","",0.000000,0,430,"London","","823.92","152116BF-0406-4896-A626-8BAE982AB241","Artemis Fowl and the Time Paradox"
9781870451307,"A Saga of the Year 3000","Ron L. Hubbard",01-01-1984,"New era publications UK, Limited","",0.000000,,"book",1,"","","",0.000000,"",0.000000,"","","","","","",08-22-2015,0,"","",0.000000,0,1050,"East Grinstead","","","9C841EE3-F2D4-4EEF-878B-8A5F4B3F740A","Battlefield Earth"
9780436276033,"","Umberto Eco",01-01-2002,"Secker & Warburg","History / Medieval",0.000000,,"book",1,"","","",0.000000,"",0.000000,"","","","","","",08-14-2015,0,"","",0.000000,0,522,"London","PQ4865.C6","853.914","DEAF491F-3D9D-4B2B-B364-14792FDEEFD5","Baudolino"
9780961392178,"","Edward R. Tufte",01-01-2006,"Graphics Press","Computers",0.000000,,"book",1,"","","",0.000000,"",0.000000,"","","","","","",08-14-2015,0,"","",0.000000,0,213,"Cheshire, Conn.","P93.5","302.23","73B03EE0-B245-4587-AB8D-08B6F201E9B6","Beautiful Evidence"
9780395830543,"Tools, Techniques, Hints, Ideas, Illustrations, Examples, Methods, Procedures, Processes, Skills, Resources, and Suggestions for Success","David B. Ellis",01-01-1997,"Houghton Mifflin","Education / Students & Student Life",0.000000,,"book",1,"","","",0.000000,"",0.000000,"","","","","","",08-23-2015,0,"","",0.000000,0,346,"Boston","LB2343.3","378.1/98","704E78C7-8CBB-4CCE-962B-3AD812BCB851","Becoming a Master Student"
9780730755319,"","Ann Storrie; Peter Morrison; Sue Morrison",01-01-2003,"Department of Conservation and Land Management","Busselton Jetty (W.A.)",0.000000,,"book",1,"","","",0.000000,"",0.000000,"","","","","","",08-14-2015,0,"","",0.000000,0,145,"Kensington, W.A.","QL121","578.77/09941","90757FE4-F27C-4B17-BA4B-12AD3D76999B","Beneath Busselton Jetty"
9780747400004,"","Patrick Tilley",01-01-1988,"Sphere","",0.000000,,"",1,"","","The Amtrak Wars ;",4.000000,"",0.000000,"","","","","","",08-22-2015,0,"","",0.000000,0,362,"London","PR6070.I38","823/.914","5E011CCF-493A-4D12-80EA-67D27CCD7A08","Blood River"
9780586213919,"","Kim Stanley Robinson",01-01-1996,"HarperCollins","Fiction / Science Fiction / General",0.000000,,"book",1,"","","Mars Trilogy",3.000000,"",0.000000,"","","","","","",08-14-2015,0,"","",0.000000,0,789,"London","PS3568.O2893","813.54","BFD1F31B-A508-47ED-8F22-B4F568DDF019","Blue Mars"
9780007274444,"","Paulo Coelho; Margaret Jull Costa",01-01-2008,"HarperCollins","",0.000000,,"book",1,"","","",0.000000,"",0.000000,"","","","","","",08-22-2015,0,"","",0.000000,0,249,"London","PQ9698.13.O3546","869.342","7EFCA00C-0748-48F8-9CAD-4263673FA552","Brida"
9781857233858,"","David Brin",01-01-1996,"Orbit","",0.000000,,"",1,"","","Uplift Storm Trilogy",1.000000,"",0.000000,"","","","","","",08-22-2015,0,"","",0.000000,0,705,"London","","813.54","9709F6A0-961A-4C3A-A8E9-272981DC966F","Brightness Reef"
9780722535202,"","Paulo Coelho; Alan R Clarke",01-01-1997,"Thorsons","",0.000000,,"book",1,"","","",0.000000,"",0.000000,"","","","","","",08-22-2015,0,"","",0.000000,0,210,"London","PQ9698.13.O35","869.3","5D9E5CF9-8479-4696-B5A0-EDBB79E163E5","By the River Piedra I Sat Down and Wept"
9780006176664,"The Nightbreed","Clive Barker",01-01-1989,"HarperCollins","Fiction / Thrillers / General",0.000000,,"book",1,"","","",0.000000,"",0.000000,"","","","","","",08-14-2015,0,"","",0.000000,0,268,"","","823/.914","D58375DE-312F-4FC2-B8FB-8F4EDC0156C4","Cabal"
9780575073654,"","Alastair Reynolds",01-01-2001,"Gollancz","Life on other planets",0.000000,,"book",1,"","","",0.000000,"",0.000000,"","","","","","",08-14-2015,0,"","",0.000000,0,524,"London","","823.914","9313E298-9322-410A-92ED-C7BEC2C96A25","Chasm City"
9780812522396,"","Orson Scott Card; John Harris; Scott Orson",01-01-1996,"Tor","Juvenile Fiction / Science Fiction",0.000000,,"book",1,"","","Ender's Game ;",4.000000,"",0.000000,"","","","","","",08-14-2015,0,"","",0.000000,0,370,"New York","PS3553.A655","813/.54","EA60E137-783F-4629-B36E-75B570F2DC2F","Children of the Mind"
9780441011025,"","Jack McDevitt",01-01-2003,"Ace Books","Fiction / Science Fiction / General",0.000000,,"book",1,"","","The Academy",3.000000,"",0.000000,"","","","","","",08-14-2015,0,"","",0.000000,0,511,"New York","PS3563.C3556","813/.54","95F97DB3-E772-4493-BAFC-2A77FD946FE6","Chindi"
